created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-03-25T00:13:48+00:00,1,-20.54,86.18,565.52,,,,
2024-03-25T00:13:53+00:00,2,-22.04,9.89,1241.84,,,,
2024-03-25T00:13:59+00:00,3,42.85,16.91,1976.52,,,,
2024-03-25T00:14:04+00:00,4,-6.17,53.98,1397.29,,,,
2024-03-25T00:15:11+00:00,5,44.66,95.98,828.93,,,,
2024-03-25T00:15:12+00:00,6,-32.94,28.22,1339.55,,,,
2024-03-25T00:15:13+00:00,7,4.19,30.78,1623.32,,,,
2024-03-25T00:15:14+00:00,8,-21.16,92.9,600.16,,,,
2024-03-25T00:59:03+00:00,9,-36.2,73.06,825.84,,,,
2024-03-25T00:59:04+00:00,10,-36.2,73.06,825.84,,,,
2024-03-25T00:59:05+00:00,11,-10.64,26.2,1041.51,,,,
2024-03-25T00:59:07+00:00,12,-3.62,45.97,1075.87,,,,
2024-03-25T00:59:08+00:00,13,-3.62,45.97,1075.87,,,,
2024-03-25T00:59:09+00:00,14,2.63,20.59,1322.95,,,,
2024-03-25T00:59:10+00:00,15,44.26,24.32,923.08,,,,
2024-03-26T18:29:40+00:00,16,-48.55,38.11,840.59,,,,
2024-03-26T18:29:41+00:00,17,-13.89,0.8,1438.94,,,,
2024-03-26T18:29:42+00:00,18,-40.0,52.95,1038.73,,,,
2024-03-26T18:29:43+00:00,19,-40.0,52.95,1038.73,,,,
2024-03-26T18:29:44+00:00,20,-22.03,24.91,904.0,,,,
2024-03-26T18:29:46+00:00,21,-4.21,61.83,1972.75,,,,
2024-03-26T18:29:48+00:00,22,-18.67,41.91,1263.13,,,,
2024-03-26T18:29:49+00:00,23,-18.67,41.91,1263.13,,,,
2024-03-26T18:29:50+00:00,24,12.09,89.42,849.07,,,,
2024-03-26T18:29:51+00:00,25,12.09,89.42,849.07,,,,
2024-03-26T18:32:51+00:00,26,-42.62,42.06,1957.22,,,,
2024-03-26T18:32:52+00:00,27,-42.62,42.06,1957.22,,,,
2024-03-26T18:32:53+00:00,28,-38.87,58.68,1343.73,,,,
2024-03-26T18:32:54+00:00,29,-34.35,95.55,1608.79,,,,
2024-03-26T21:19:42+00:00,30,-6.18,34.76,702.96,,,,
2024-03-26T21:19:43+00:00,31,40.81,26.45,976.2,,,,
2024-03-26T21:19:44+00:00,32,35.38,82.78,1001.27,,,,
2024-03-26T21:19:45+00:00,33,17.19,17.32,1788.44,,,,
2024-03-26T21:19:47+00:00,34,-28.25,91.3,1537.57,,,,
2024-03-26T21:19:48+00:00,35,25.18,86.85,527.27,,,,
2024-03-26T21:19:49+00:00,36,6.43,35.09,619.53,,,,
2024-03-26T21:19:50+00:00,37,49.9,18.27,305.18,,,,
2024-03-26T21:19:51+00:00,38,-6.46,26.31,1937.93,,,,
2024-03-26T21:19:53+00:00,39,7.98,56.04,707.12,,,,
2024-03-26T21:19:54+00:00,40,45.06,85.83,1825.32,,,,
2024-03-26T21:19:55+00:00,41,43.07,92.63,1821.8,,,,
2024-03-26T21:19:56+00:00,42,-12.25,35.53,1008.71,,,,
2024-03-26T21:19:57+00:00,43,21.65,63.96,1539.38,,,,
2024-03-26T21:19:58+00:00,44,6.54,63.94,556.62,,,,
2024-03-26T21:19:59+00:00,45,48.45,96.93,1022.6,,,,
2024-03-26T21:20:00+00:00,46,26.68,7.34,975.05,,,,
2024-03-26T21:20:01+00:00,47,9.48,35.96,1114.98,,,,
2024-03-26T21:20:02+00:00,48,38.75,94.64,1275.89,,,,
2024-03-26T21:20:03+00:00,49,18.06,60.15,500.18,,,,
2024-03-26T21:20:04+00:00,50,-20.29,27.96,784.44,,,,
2024-03-26T21:20:06+00:00,51,-2.6,14.69,558.66,,,,
2024-03-26T21:20:07+00:00,52,43.01,96.31,1122.17,,,,
2024-03-26T21:20:08+00:00,53,-23.82,96.22,1727.12,,,,
2024-03-26T21:20:09+00:00,54,-12.02,39.46,909.14,,,,
2024-03-26T21:20:10+00:00,55,11.34,86.64,943.06,,,,
2024-03-26T21:20:11+00:00,56,-5.09,77.78,557.29,,,,
2024-03-26T21:20:12+00:00,57,13.63,7.2,1012.49,,,,
2024-03-26T21:20:13+00:00,58,40.08,33.02,1728.11,,,,
2024-03-26T21:20:14+00:00,59,-27.88,14.19,746.54,,,,
2024-03-26T21:20:15+00:00,60,34.7,48.19,1806.12,,,,
2024-03-26T21:20:16+00:00,61,-19.67,20.87,1579.55,,,,
2024-03-26T21:20:18+00:00,62,-12.38,96.71,1010.36,,,,
2024-03-26T21:20:19+00:00,63,38.57,72.43,754.91,,,,
2024-03-26T21:20:20+00:00,64,30.57,59.02,903.63,,,,
2024-03-26T21:20:21+00:00,65,16.32,97.9,1309.59,,,,
2024-03-26T21:20:22+00:00,66,32.25,95.81,629.46,,,,
2024-03-26T21:20:23+00:00,67,5.62,50.15,941.67,,,,
2024-03-26T21:20:24+00:00,68,-1.59,2.49,1076.28,,,,
2024-03-26T21:20:25+00:00,69,11.45,29.35,1780.68,,,,
2024-03-26T21:20:26+00:00,70,27.87,91.36,424.0,,,,
2024-03-26T21:20:27+00:00,71,-8.44,94.13,1982.06,,,,
2024-03-26T21:20:28+00:00,72,-26.43,0.8,1411.72,,,,
2024-03-26T21:20:29+00:00,73,-47.62,20.91,1165.48,,,,
2024-03-26T21:20:30+00:00,74,-31.99,94.9,1606.81,,,,
2024-03-26T21:20:31+00:00,75,-43.78,4.57,460.14,,,,
2024-03-26T21:20:32+00:00,76,2.77,29.09,1628.17,,,,
2024-03-26T21:20:33+00:00,77,34.06,79.36,1036.86,,,,
2024-03-26T21:20:34+00:00,78,48.07,30.14,1927.7,,,,
2024-03-26T21:20:35+00:00,79,20.77,58.06,1925.43,,,,
2024-03-26T21:20:36+00:00,80,-17.42,50.69,1119.1,,,,
2024-03-26T21:20:37+00:00,81,-8.32,1.41,622.72,,,,
2024-03-26T21:20:38+00:00,82,-19.86,53.97,582.95,,,,
2024-03-26T21:20:39+00:00,83,9.93,69.91,1905.94,,,,
2024-03-26T21:20:40+00:00,84,6.4,10.3,1635.72,,,,
2024-03-26T21:20:42+00:00,85,-36.51,43.4,744.62,,,,
2024-03-26T21:20:43+00:00,86,17.64,78.94,1573.09,,,,
2024-03-26T21:20:44+00:00,87,33.17,14.89,421.98,,,,
2024-03-26T21:20:45+00:00,88,29.75,75.39,1815.34,,,,
2024-03-26T21:20:46+00:00,89,41.45,18.78,996.22,,,,
2024-03-26T21:20:47+00:00,90,22.77,71.91,522.82,,,,
2024-03-26T21:20:48+00:00,91,-10.87,55.4,778.34,,,,
2024-03-26T21:20:49+00:00,92,-23.26,59.75,493.63,,,,
2024-03-26T21:20:50+00:00,93,-5.35,17.86,768.09,,,,
2024-03-26T21:20:51+00:00,94,-39.33,53.12,1399.96,,,,
2024-03-26T21:20:52+00:00,95,-11.85,37.44,1831.38,,,,
2024-03-26T21:20:53+00:00,96,-45.65,23.18,1527.49,,,,
2024-03-26T21:20:54+00:00,97,-21.68,43.47,1004.79,,,,
2024-03-26T21:20:55+00:00,98,-45.79,85.13,829.16,,,,
2024-03-26T21:20:56+00:00,99,-40.0,89.15,1120.38,,,,
2024-03-26T21:20:57+00:00,100,-19.23,57.77,559.87,,,,
2024-03-26T21:20:58+00:00,101,-14.17,4.69,629.04,,,,
2024-03-26T21:20:59+00:00,102,-19.17,81.68,1431.28,,,,
2024-03-26T21:21:00+00:00,103,-17.29,66.56,1156.82,,,,
2024-03-26T21:21:01+00:00,104,34.95,94.35,1894.0,,,,
2024-03-26T21:21:02+00:00,105,-20.7,93.02,1213.74,,,,
2024-03-26T21:21:03+00:00,106,-28.71,4.57,1574.92,,,,
2024-03-26T21:21:04+00:00,107,2.38,9.02,1292.34,,,,
2024-03-26T21:21:05+00:00,108,-44.07,38.37,1317.89,,,,
2024-03-26T21:21:06+00:00,109,38.88,9.22,885.54,,,,
2024-03-26T21:21:07+00:00,110,46.42,10.46,1784.66,,,,
2024-03-26T21:21:08+00:00,111,11.68,77.42,1621.95,,,,
2024-03-26T21:21:09+00:00,112,1.87,7.51,467.27,,,,
2024-03-26T21:21:10+00:00,113,10.88,50.82,1987.51,,,,
2024-03-26T21:21:11+00:00,114,32.02,70.5,1077.3,,,,
2024-03-26T21:21:12+00:00,115,35.5,95.41,741.73,,,,
2024-03-26T21:21:13+00:00,116,33.14,43.83,1642.5,,,,
2024-03-26T21:21:15+00:00,117,-26.75,5.42,1216.52,,,,
2024-03-26T21:21:16+00:00,118,-17.03,73.05,915.33,,,,
2024-03-26T21:21:17+00:00,119,31.8,84.27,500.94,,,,
2024-03-26T21:21:18+00:00,120,0.8,54.59,577.99,,,,
2024-03-26T21:21:19+00:00,121,-35.39,48.67,781.58,,,,
2024-03-26T21:21:20+00:00,122,-34.83,60.45,1778.91,,,,
2024-03-26T21:21:21+00:00,123,47.14,90.46,609.77,,,,
2024-03-26T21:21:22+00:00,124,-36.51,21.04,575.9,,,,
2024-03-26T21:21:23+00:00,125,13.09,87.44,690.91,,,,
2024-03-26T21:21:25+00:00,126,18.14,99.53,303.68,,,,
2024-03-26T21:21:26+00:00,127,40.46,51.84,905.42,,,,
2024-03-26T21:21:27+00:00,128,2.14,44.55,1341.86,,,,
2024-03-26T21:21:28+00:00,129,-12.39,36.87,375.53,,,,
2024-03-26T21:21:30+00:00,130,-19.88,55.37,462.09,,,,
2024-03-26T21:21:31+00:00,131,8.4,3.75,1778.73,,,,
2024-03-26T21:21:32+00:00,132,-12.29,15.92,372.14,,,,
2024-03-26T21:21:33+00:00,133,21.28,64.09,1668.66,,,,
2024-03-26T21:21:34+00:00,134,21.7,15.24,1925.11,,,,
2024-03-26T21:21:35+00:00,135,-42.34,1.93,1892.67,,,,
2024-03-26T21:21:36+00:00,136,-17.24,59.6,1313.79,,,,
2024-03-26T21:21:37+00:00,137,-39.44,99.72,331.67,,,,
2024-03-26T21:21:38+00:00,138,4.33,54.51,1392.78,,,,
